Owner,total_capacity,number_of_plants,number_of_countries
Nippon Steel Corp,44423.0,11,1
POSCO Holdings Inc,40700.0,2,1
Angang Steel Co Ltd,30250.0,3,1
JFE Steel Corp,28468.0,5,1
JSW Steel Ltd,28359.0,5,1
Cleveland-Cliffs Inc,26377.0,11,2
Hyundai Steel Co,24297.0,3,1
Steel Authority of India Ltd,21050.0,8,1
Baoshan Iron & Steel Co Ltd,19800.0,1,1
Tata Steel Ltd,19720.0,3,2
Nucor Corp,17737.0,11,1
Zhangjiagang Hongchang Steel Co Ltd,17647.0,2,1
Maanshan Iron & Steel Co Ltd,17340.0,2,1
Wuhan Iron and Steel Co Ltd,15907.0,1,1
Inner Mongolia BaoTou Steel Union Co Ltd,15610.0,1,1
Hunan Valin Lianyuan Iron and Steel Co Ltd,15200.0,2,1
Magnitogorskiy Metallurgicheskiy Kombinat PJSC,14500.0,2,1
Novolipetsk Steel PJSC,14400.0,1,1
Mobarakeh Steel Co,14100.0,4,1
Shougang Jingtang United Iron & Steel Co Ltd,13700.0,1,1
Bengang Steel Plates Co Ltd,13440.0,2,1
Steel Dynamics Inc,12562.0,6,1
Baosteel Zhanjiang Iron & Steel Co Ltd,12528.0,1,1
Shanxi Taigang Stainless Steel Co Ltd,12460.0,1,1
Severstal PJSC,12001.0,1,1
United States Steel Corp,12000.0,3,1
Hoa Phat Dung Quat Steel JSC,11600.0,1,1
Rizhao Steel Holding Group Co Ltd,11300.0,2,1
Xinyu Iron & Steel Corp Ltd,11001.0,2,1
Thyssenkrupp Steel Europe AG,11000.0,1,1
Zhangjiagang Rongsheng Steel-Making Co Ltd,10571.0,1,1
Government of North Korea,10252.0,4,1
Hebei Donghai SPECIAL Steel Group Co Ltd,10001.0,1,1
China Steel Corp,10000.0,2,1
Nanjing Iron & Steel Co Ltd,10000.0,1,1
Hebei Yanshan Iron and Steel Group Co Ltd,9990.0,1,1
Evraz ZSMK JSC,9901.0,2,1
Guangxi Shenglong Metallurgical Co Ltd,9783.0,1,1
Jindal Steel & Power Ltd,9600.0,2,1
ArcelorMittal Nippon Steel India Ltd,9600.0,1,1
Liuzhou IRON&STEEL Co Ltd,9458.0,1,1
SGIS Songshan Co Ltd,8698.0,1,1
Shandong IRON&STEEL Group Rizhao Co Ltd,8500.0,1,1
Guangxi Iron and Steel Group Co Ltd,8400.0,1,1
Chongqing Iron & Steel Co Ltd,8400.0,1,1
Beijing Shougang Co Ltd,8300.0,2,1
Lianfeng Steel (Zhangjiagang) Co Ltd,8240.0,2,1
ArcelorMittal Brasil SA,8200.0,6,1
ArcelorMittal SA,8150.0,6,4
Chengde Street Ltd,8000.0,1,1
Acciaierie d'italia SpA,7800.0,1,1
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,7700.0,1,1
Shanghai Meishan Iron & Steel Co Ltd,7600.0,1,1
Formosa Ha Tinh Steel Corp,7500.0,1,1
Tata Steel Ijmuiden BV,7500.0,1,1
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,7500.0,1,1
ArcelorMittal Tubarão Comercial SA,7500.0,1,1
HBIS Laoting Steel Co Ltd,7450.0,1,1
Rashtriya Ispat Nigam Ltd,7302.0,1,1
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,7300.0,1,1
Liberty Steel Group,7260.0,4,4
Anyang Iron & Steel Co Ltd,7250.0,2,1
Shaanxi LONG MEN IRON&STEEL Co Ltd,7200.0,2,1
Hebei Anfeng Iron & Steel Co Ltd,7100.0,1,1
Dexin Steel Pte Ltd,7000.0,1,1
Algoma Steel Group Inc,6900.0,2,1
Sansteel Minguang Co Ltd Fujian,6799.0,1,1
Jiangyin Xingcheng SPECIAL Steel Works Co Ltd,6797.0,2,1
ArcelorMittal Atlantique et Lorraine SAS,6750.0,1,1
Tianjin Iron and Steel Group Co Ltd,6650.0,1,1
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,6501.0,2,1
ArcelorMittal México SA de CV,6500.0,1,1
SSAB AB,6413.0,4,2
Jingye Iron and Steel Co Ltd,6400.0,1,1
Hüttenwerke Krupp Mannesmann GmbH,6300.0,1,1
Companhia Siderúrgica Nacional SA,6251.0,1,1
Tosyali Ironsteel Industry Algerie SpA,6200.0,1,1
Fujian Sanbao Steel Co Ltd,6196.0,1,1
Gerdau Ameristeel Corp,6193.0,7,2
Dragon Steel Corp,6081.0,1,1
Guangxi Guixin Steel Group Co Ltd,6050.0,1,1
Chengyu Vanadium & Titanium Technology Co Ltd,6050.0,2,1
Big River Steel LLC,6022.0,1,1
Saudi Iron and Steel Co,6000.0,1,1
Qazaqstan Steel Group LLP,6000.0,1,1
Voestalpine Stahl GmbH,6000.0,2,1
Toscelik Profil ve Sac Endustrisi AS,6000.0,2,1
Lingyuan Iron & Steel Co Ltd,5994.0,1,1
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,5900.0,1,1
Zenith Steel Group (Nantong) Co Ltd,5850.0,1,1
Iskenderun Demir ve Celik AŞ,5800.0,1,1
Chelyabinskiy Metallurgicheskiy Kombinat PJSC,5799.0,1,1
Qian'an City Jiujiang Wire Co Ltd,5729.0,1,1
Tangshan Ganglu Iron & Steel Co Ltd,5614.0,2,1
Hebei Puyang Iron and Steel Co Ltd,5567.0,2,1
Tata Steel BSL Ltd,5510.0,1,1
Promsort LLC,5500.0,3,1
Rizhao Steel Yingkou Medium Plate Co Ltd,5500.0,2,1
Tangshan Donghai Iron and Steel Group Co Ltd,5499.0,2,1
Alchevsk Metallurgical Plant PJSC,5472.0,1,1
Shandong Iron & Steel Group Yongfeng Lingang Corp,5400.0,1,1
ArcelorMittal España SA,5400.0,3,1
Zhongxin Iron and Steel Group Co Ltd,5400.0,1,1
Ternium Brasil Ltda,5200.0,1,1
Salzgitter Flachstahl GmbH,5200.0,1,1
Kobe Steel Ltd,5136.0,2,1
ArcelorMittal Méditerranée SAS,5100.0,2,1
Commercial Metals Co,5076.0,7,1
Wuyang Iron and Steel Co Ltd,5040.0,1,1
Laiwu Steel Yinshan Section Co Ltd,5001.0,1,1
ArcelorMittal Poland SA,5001.0,1,1
Içdaş Çelik Enerji Tersane Ve Ulaşim Sanayi AŞ,5001.0,1,1
Tangshan Songting IRON&STEEL Co Ltd,5000.0,1,1
Hebei Jinxi Iron & Steel Group Co Ltd,5000.0,1,1
Hebei Xinda Iron and Steel Co Ltd,5000.0,1,1
Quzhou Yuanli METAL Products Co Ltd,5000.0,1,1
Usinas Siderurgicas de Minas Gerais SA,5000.0,1,1
Tianjin Iron PLANT Co Ltd,4870.0,1,1
Shanxi Jinnan Iron and Steel Group Co Ltd,4800.0,1,1
Guangxi Chiji Iron and Steel Co Ltd,4800.0,1,1
Tokyo Steel Manufacturing Co Ltd,4786.0,4,1
Kardemir Karabuk Demir Çelik Sanayi Ve Ticaret AŞ,4751.0,2,1
Shanxi Jianlong Industrial Co Ltd,4750.0,2,1
JiuJiang PXSteel Co Ltd,4700.0,1,1
Shiheng SPECIAL Steel Group Co Ltd,4650.0,1,1
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,4600.0,2,1
Jincheng FUSHENG Iron & Steel Co Ltd,4600.0,1,1
Tonghua Iron & Steel Co Ltd,4590.0,1,1
Rockcheck Steel Group Co Ltd,4500.0,2,1
Habas Industrial and Medical Gases Production Industries AŞ,4500.0,1,1
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,4500.0,1,1
Çolakoğlu Metalürji AŞ,4500.0,1,1
US Steel Košice sro,4500.0,1,1
DeAcero SAPI de CV,4500.0,2,1
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,4500.0,1,1
Hanshan Iron and Steel Co Ltd,4488.0,1,1
Chengde Jianlong SPECIAL Steel Co Ltd,4400.0,1,1
Evraz NTMK JSC,4400.0,1,1
Gerdau Acominas SA,4360.0,1,1
Ternium México SA de CV,4330.0,3,1
Acciaieria Arvedi SpA,4300.0,1,1
Baowu Group Echeng Iron & Steel Co Ltd,4276.0,1,1
Tangshan Heavy Plate Co Ltd,4200.0,1,1
Jianlong Xilin Iron and Steel Co Ltd,4200.0,1,1
Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,4125.0,2,1
Wuan Yuhua Steel Co Ltd,4100.0,1,1
ArcelorMittal Dofasco GP,4050.0,2,1
PT Krakatau Steel (Persero) Tbk,4000.0,1,1
Jiugang Group Yuzhong Iron & Steel Co Ltd,4000.0,1,1
Ningbo Iron & Steel Co Ltd,3999.0,1,1
Saarstahl AG,3970.0,2,2
Hebei Taihang Iron and Steel Group Co Ltd,3950.0,1,1
Al Ezz Flat Steel Company SAE,3900.0,1,1
Pangang Group Xichang Steel and Vanadium Co Ltd,3900.0,1,1
Shandong Iron and Steel Co Ltd,3850.0,1,1
Eregli Demir ve Celik Fabrikalari AŞ,3801.0,1,1
Anhui Changjiang Steel Co Ltd,3800.0,1,1
ArcelorMittal Bremen GmbH,3800.0,2,1
Zenith Steel Group Co Ltd,3700.0,1,1
